County,State,Population,Poverty Rate
Calaveras County, California,45057,12.597376656235435
Sutter County, California,95583,16.535367167801805
San Mateo County, California,763450,7.201650402776868
Tuolumne County, California,53899,12.75533868902948
San Joaquin County, California,724153,16.750051439405762
Amador County, California,37306,9.55342304186994
Costilla County, Colorado,3628,29.575523704520396
Adams County, Colorado,487850,12.104130367940966
Conejos County, Colorado,8147,20.97704676568062
Custer County, Colorado,4505,15.382907880133185
Douglas County, Colorado,320940,3.6255998005857792
Eagle County, Colorado,53726,7.6834307411681495
Lake County, Colorado,7481,12.55179788798289
La Plata County, Colorado,54469,9.262149112339129
Moffat County, Colorado,13056,9.995404411764707
Pitkin County, Colorado,17747,7.043443962359835
Rio Grande County, Colorado,11430,17.655293088363955
Cheyenne County, Colorado,2127,11.51857075693465
Bent County, Colorado,5806,16.327936617292455
Crowley County, Colorado,5514,19.114980050779835
Dolores County, Colorado,1736,14.112903225806452
San Juan County, Colorado,569,3.3391915641476273
Jackson County, Colorado,1372,12.755102040816327
Larimer County, Colorado,330976,12.087281253021366
Logan County, Colorado,21885,15.992689056431345
Montezuma County, Colorado,25770,16.589057043073343
San Miguel County, Colorado,7804,10.443362378267555
Teller County, Colorado,23769,7.4046026336825275
Yuma County, Colorado,10109,14.096349787318232
Boulder County, Colorado,316782,12.589730477110441
Elbert County, Colorado,24553,4.724473587748951
Las Animas County, Colorado,14151,16.01300261465621
Lincoln County, Colorado,5520,8.91304347826087
Clear Creek County, Colorado,9257,6.719239494436643
Routt County, Colorado,24359,10.538199433474281
Summit County, Colorado,29722,10.305497611197094
Alamosa County, Colorado,16345,25.934536555521568
Delta County, Colorado,30217,15.868550815765959
Fremont County, Colorado,46601,12.132786850067594
Pueblo County, Colorado,163368,19.261422065520787
Montrose County, Colorado,40908,17.573579739904176
Morgan County, Colorado,28123,9.170429897237137
Park County, Colorado,16900,6.497041420118343
Saguache County, Colorado,6338,20.937204165351847
Mesa County, Colorado,148798,15.617145391739136
Prowers County, Colorado,12084,17.767295597484278
Hinsdale County, Colorado,820,11.951219512195122
El Paso County, Colorado,674826,10.772999262031991
Washington County, Colorado,4809,9.211894364732792
Grand County, Colorado,14793,13.026431420266341
Arapahoe County, Colorado,626612,9.808781191550752
Otero County, Colorado,18325,22.291950886766713
Phillips County, Colorado,4327,7.973191587705108
Archuleta County, Colorado,12592,11.483481575603557
Denver County, Colorado,678467,14.829166341177979
Kiowa County, Colorado,1368,10.380116959064328
Huerfano County, Colorado,6498,14.419821483533395
Baca County, Colorado,3581,18.821558223959787
Chaffee County, Colorado,18818,8.959506855138697
Gilpin County, Colorado,5793,5.4375970999482135
Kit Carson County, Colorado,7846,10.37471322967117
Garfield County, Colorado,57945,9.403744930537579
Gunnison County, Colorado,16215,13.382670366944188
Jefferson County, Colorado,564029,7.683824767875411
Mineral County, Colorado,834,11.990407673860911
Ouray County, Colorado,4653,10.401891252955084
Rio Blanco County, Colorado,6557,11.178892786335215
Sedgwick County, Colorado,2357,16.63131098854476
Weld County, Colorado,285729,10.972984891278099
New Haven County, Connecticut,862127,11.684125424676411
Litchfield County, Connecticut,184454,6.722543289925944
Hartford County, Connecticut,897417,10.919784225170684
Windham County, Connecticut,116674,10.553336647410735
New London County, Connecticut,270772,9.487317743341261
Middlesex County, Connecticut,164110,6.9666686978246295
Tolland County, Connecticut,151596,5.803583208000211
Fairfield County, Connecticut,947328,8.594911160653966
Santa Rosa County, Florida,166778,10.836561177133675
Broomfield County, Colorado,64283,5.195774932719382
New Castle County, Delaware,555036,11.545557405285424
Sussex County, Delaware,215551,11.820404451846663
Kent County, Delaware,173145,12.557682866961217
Manatee County, Florida,363542,13.267792992281498
Citrus County, Florida,141373,17.06337136511215
Levy County, Florida,39713,21.642786996701332
Baker County, Florida,27537,15.531829901586956
Volusia County, Florida,518660,15.757721821617244
Leon County, Florida,285890,19.650914687467207
Broward County, Florida,1890416,13.875570244856158
Madison County, Florida,18518,28.30219246138892
Monroe County, Florida,76745,12.45944361196169
Escambia County, Florida,309924,13.699164956569998
Hernando County, Florida,179144,14.134997543875318
Hillsborough County, Florida,1351087,15.40944439551265
Okaloosa County, Florida,197591,11.132592071501232
Taylor County, Florida,22350,13.387024608501118
Wakulla County, Florida,31586,11.207496992338378
Washington County, Florida,24472,18.944099378881987
Duval County, Florida,912043,15.680620321629572
Bradford County, Florida,26775,16.41083099906629
Brevard County, Florida,568183,13.218276505984868
Clay County, Florida,203291,10.329035717272285
Lafayette County, Florida,8684,14.555504375863658
Lake County, Florida,326215,12.67660898487194
Nassau County, Florida,78435,11.303627207241664
Pinellas County, Florida,949842,13.47045087498763
Polk County, Florida,652256,16.949939900897807
St. Lucie County, Florida,298763,16.472588640494305
Glades County, Florida,13197,16.215806622717285
Hendry County, Florida,39064,24.93088265410608
Indian River County, Florida,147981,12.580669139957157
Jackson County, Florida,48571,18.101336188260486
Palm Beach County, Florida,1426772,13.257619297266837
St. Johns County, Florida,226578,8.972627527827061
Seminole County, Florida,449260,11.687886747095224
Miami-Dade County, Florida,2702602,18.692430479959683
Bay County, Florida,180117,15.127944613778821
Flagler County, Florida,105015,13.178117411798315
Franklin County, Florida,11675,17.23340471092077
Gulf County, Florida,16018,12.6669996254214
Hamilton County, Florida,14238,20.33993538418317
Liberty County, Florida,8347,14.735833233497065
Osceola County, Florida,325168,17.657334055011564
Sumter County, Florida,116754,8.475084365417887
Walton County, Florida,63457,16.404809556077343
Gadsden County, Florida,46113,22.75930865482619
Holmes County, Florida,19483,24.015808653698095
Jefferson County, Florida,14085,11.36670216542421
Lee County, Florida,700165,14.64497654124385
Marion County, Florida,343778,17.093007696827605
Hardee County, Florida,27326,22.864671009295176
Collier County, Florida,356774,12.720938184957424
Okeechobee County, Florida,40228,20.565277915879488
Orange County, Florida,1290216,16.22720536716333
Alachua County, Florida,259865,21.95755488426683
District of Columbia, District of Columbia,672391,16.51196996985385
Pasco County, Florida,498136,13.341135754091253
Gilchrist County, Florida,17191,18.172299459019253
Highlands County, Florida,100177,18.462321690607624
Suwannee County, Florida,43814,19.573652257269366
DeSoto County, Florida,35675,28.2718990889979
Calhoun County, Florida,14458,11.004288283303362
Charlotte County, Florida,173236,11.703110208039899
Columbia County, Florida,68484,15.5496174288885
Dixie County, Florida,16323,21.264473442381917
Martin County, Florida,155719,10.675640095299867
Putnam County, Florida,72435,26.98419272451163
Sarasota County, Florida,404839,10.356215680801505
Union County, Florida,15300,13.947712418300654
Clay County, Georgia,3024,40.67460317460318
Echols County, Georgia,4011,28.17252555472451
Glynn County, Georgia,83467,18.89728874884685
DeKalb County, Georgia,736066,17.294508916320005
Haralson County, Georgia,28722,17.631084186337997
Lincoln County, Georgia,7768,22.824407826982494
Jackson County, Georgia,63851,12.369422561901928
Jefferson County, Georgia,15954,26.08750156700514
Jones County, Georgia,28540,14.018920812894184
Murray County, Georgia,39444,17.812595071493764
Muscogee County, Georgia,198647,20.788131711025084
Pulaski County, Georgia,11396,18.804843804843806
Rabun County, Georgia,16354,19.927846398434635
Stewart County, Georgia,5832,28.12071330589849
Towns County, Georgia,11173,13.568423878994004
Treutlen County, Georgia,6752,19.949644549763033
Turner County, Georgia,8036,26.59283225485316
Irwin County, Georgia,9278,23.755119637852985
Atkinson County, Georgia,8313,27.21039335979791
Appling County, Georgia,18471,24.010611228412106
Bacon County, Georgia,11279,21.86364039365192
Brantley County, Georgia,18411,21.56319591548531
Whitfield County, Georgia,103963,18.958667987649452
Calhoun County, Georgia,6503,22.666461633092418
Macon County, Georgia,13675,24.59963436928702
Troup County, Georgia,69433,20.782624976596143
Bibb County, Georgia,153923,25.644640502069215
Harris County, Georgia,33198,7.175131031989879
Marion County, Georgia,8558,22.80906753914466
Schley County, Georgia,5168,22.21362229102167
Worth County, Georgia,20809,21.370560815031958
Bleckley County, Georgia,12779,20.27545191329525
Dooly County, Georgia,14053,20.187860243364405
Evans County, Georgia,10757,24.700195221716093
Franklin County, Georgia,22328,24.6461841633823
Webster County, Georgia,2627,19.375713741910925
Effingham County, Georgia,57087,9.468004974862929
Lamar County, Georgia,18282,19.281260255989498
Glascock County, Georgia,3027,11.199207135777998
Emanuel County, Georgia,22502,28.12638876544307
Quitman County, Georgia,2140,22.80373831775701
Chatham County, Georgia,285506,16.50368118358283
Liberty County, Georgia,62120,15.986799742433998
Jasper County, Georgia,13732,19.101369064957762
Johnson County, Georgia,9800,20.785714285714285
Lanier County, Georgia,10388,27.67616480554486
Madison County, Georgia,28600,17.402097902097903
Mitchell County, Georgia,22574,24.08966067156906
Seminole County, Georgia,8549,25.13744297578664
Tift County, Georgia,40531,26.461227208803138
Twiggs County, Georgia,8323,26.961432175898114
Polk County, Georgia,41444,18.774732168709583
Talbot County, Georgia,6423,16.658882142301106
Taylor County, Georgia,8267,27.64001451554373
Terrell County, Georgia,8978,33.938516373357096
Thomas County, Georgia,44909,19.105301832594805
Toombs County, Georgia,27160,24.050073637702504
Wilkinson County, Georgia,9147,23.089537553296164
Ben Hill County, Georgia,17272,29.753358036127835
Burke County, Georgia,22645,28.72157209096931
Catoosa County, Georgia,65870,10.695308941855169
Chattahoochee County, Georgia,11096,10.264960346070657
Chattooga County, Georgia,24880,20.707395498392284
Columbia County, Georgia,143723,8.536559910383168
Decatur County, Georgia,27023,23.06553676497798
Floyd County, Georgia,96471,17.387608711426232
Forsyth County, Georgia,211300,6.456696639848556
Habersham County, Georgia,43878,16.213136423720314
Hart County, Georgia,25535,18.17897004112003
Lowndes County, Georgia,113941,24.05630984456868
McIntosh County, Georgia,14061,20.11947941113719
Meriwether County, Georgia,21152,22.385590015128592
Monroe County, Georgia,26795,12.74491509610002
Putnam County, Georgia,21430,15.982267848810078
Sumter County, Georgia,30687,31.153257079545085
Taliaferro County, Georgia,1844,30.96529284164859
Warren County, Georgia,5410,26.377079482439925
Baker County, Georgia,3251,19.501691787142416
Bryan County, Georgia,34883,14.038356792707049
Butts County, Georgia,23556,20.767532688062488
Candler County, Georgia,10894,30.668257756563246
Camden County, Georgia,52252,12.273214422414453
Carroll County, Georgia,114898,18.02033107625894
Crawford County, Georgia,12385,17.81994348001615
Early County, Georgia,10405,27.02546852474772
Crisp County, Georgia,23005,30.536839817430995
Coffee County, Georgia,43048,21.71529455491544
Coweta County, Georgia,138015,11.520486903597435
Cobb County, Georgia,739072,10.706264071700728
Gilmer County, Georgia,29614,18.639832511649896
Dade County, Georgia,16282,16.08524751259059
Walton County, Georgia,88695,12.627543829979142
Wilkes County, Georgia,9905,26.198889449772842
Brooks County, Georgia,15629,23.296436112355238
Dodge County, Georgia,21063,20.07786165313583
Gordon County, Georgia,56424,18.548844463348928
Elbert County, Georgia,19288,22.01368726669432
Cherokee County, Georgia,235896,9.35666564926917
Fayette County, Georgia,110306,6.261672075861694
Jenkins County, Georgia,8929,30.462537798185686
Lee County, Georgia,29216,11.230147864184008
Newton County, Georgia,105042,16.496258639401383
Pickens County, Georgia,30343,9.768315591734503
Greene County, Georgia,16732,21.653119770499643
Colquitt County, Georgia,45890,24.937894966223578
Cook County, Georgia,17190,23.845258871436883
Dawson County, Georgia,23397,11.66388853271787
Hancock County, Georgia,8667,20.814584054459445
Clayton County, Georgia,274150,21.41200072952763
Fulton County, Georgia,1010420,15.490489103541101
Hall County, Georgia,192865,15.883649184662847
Lumpkin County, Georgia,31567,19.171920043082967
McDuffie County, Georgia,21488,25.6096425912137
Miller County, Georgia,5884,22.637661454792656
Morgan County, Georgia,18013,13.179370454671625
Heard County, Georgia,11607,17.01559403808047
Oconee County, Georgia,35972,6.883131324363394
Dougherty County, Georgia,91522,29.237778894691985
Fannin County, Georgia,24480,15.547385620915033
Henry County, Georgia,217506,11.32750360909584
Houston County, Georgia,150341,16.459249306576382
Laurens County, Georgia,47451,26.728625318749867
Long County, Georgia,17857,19.76815814526516
Spalding County, Georgia,64192,21.22382851445663
Stephens County, Georgia,25625,17.57658536585366
Telfair County, Georgia,16339,22.08213476956974
Union County, Georgia,22262,12.523582786811607
Upson County, Georgia,26241,22.167600320109752
Washington County, Georgia,20506,24.743977372476348
White County, Georgia,28509,17.471675611210493
Peach County, Georgia,27027,17.334517334517333
Paulding County, Georgia,152399,9.656231340100657
Pierce County, Georgia,19141,20.866203437646934
Pike County, Georgia,17919,11.987276075673865
Richmond County, Georgia,201568,23.164391173202095
Screven County, Georgia,14037,22.027498753294864
Tattnall County, Georgia,25402,17.923785528698527
Berrien County, Georgia,19014,23.377511307457663
Walker County, Georgia,68609,16.795172644988266
Gwinnett County, Georgia,889954,12.053094879061165
Barrow County, Georgia,75099,13.08805709796402
