,County,State,Temp
628,Cassia County, Idaho,37.4
629,Gem County, Idaho,41
630,Lincoln County, Idaho,48.2
631,Valley County, Idaho,26.6
632,Adams County, Idaho,52
633,Franklin County, Idaho,51.01
634,Nez Perce County, Idaho,37
635,Jerome County, Idaho,37.4
636,Kootenai County, Idaho,36
637,Lewis County, Idaho,46.99
638,Minidoka County, Idaho,37.4
639,Twin Falls County, Idaho,37.4
640,Owyhee County, Idaho,37.25
641,Blaine County, Idaho,28.4
642,Boise County, Idaho,41
643,Boundary County, Idaho,35.01
644,Butte County, Idaho,52
645,Caribou County, Idaho,30
646,Gooding County, Idaho,37.4
647,Ada County, Idaho,41
648,Bannock County, Idaho,35.6
649,Bear Lake County, Idaho,36
650,Bingham County, Idaho,36
651,Bonneville County, Idaho,36
652,Camas County, Idaho,28.4
653,Canyon County, Idaho,41
654,Clearwater County, Idaho,30.99
655,Jefferson County, Idaho,52
656,Latah County, Idaho,37
657,Custer County, Idaho,59
658,Lemhi County, Idaho,32
659,Payette County, Idaho,41
660,Benewah County, Idaho,37
661,Bonner County, Idaho,35.01
662,Clark County, Idaho,60.01
663,Elmore County, Idaho,80.01
664,Fremont County, Idaho,44.01
665,Madison County, Idaho,66.99
666,Shoshone County, Idaho,37
667,Idaho County, Idaho,44.6
668,Teton County, Idaho,27
669,Power County, Idaho,35.6
670,Washington County, Idaho,50
671,Hancock County, Illinois,43
672,Madison County, Illinois,66.99
673,Grundy County, Illinois,39.99
674,Kankakee County, Illinois,39.99
675,Mercer County, Illinois,51.01
676,DuPage County, Illinois,41
677,Sangamon County, Illinois,54
678,Alexander County, Illinois,45
679,Menard County, Illinois,80.6
680,Randolph County, Illinois,48
681,Morgan County, Illinois,44.01
682,Cook County, Illinois,41
683,Ogle County, Illinois,37.99
684,Macon County, Illinois,61
685,Stephenson County, Illinois,37.99
686,Wayne County, Illinois,37
687,White County, Illinois,59
688,Woodford County, Illinois,45
689,Franklin County, Illinois,51.01
690,Henderson County, Illinois,51.01
691,McDonough County, Illinois,41
692,McHenry County, Illinois,39.2
693,McLean County, Illinois,45
694,Moultrie County, Illinois,48.99
695,Perry County, Illinois,44.6
696,Pike County, Illinois,48.2
697,Pope County, Illinois,75.2
698,Rock Island County, Illinois,39.99
699,St. Clair County, Illinois,36
700,Shelby County, Illinois,63
701,Wabash County, Illinois,39.2
702,Champaign County, Illinois,45
703,Calhoun County, Illinois,39.2
704,Cumberland County, Illinois,55.99
705,Ford County, Illinois,53.01
706,Jo Daviess County, Illinois,37
707,Kane County, Illinois,39.99
708,Kendall County, Illinois,39.99
709,Lawrence County, Illinois,48
710,Brown County, Illinois,37
711,Marion County, Illinois,48
712,Marshall County, Illinois,69.01
713,Mason County, Illinois,46.99
714,Iroquois County, Illinois,43
715,Christian County, Illinois,66.2
716,Clay County, Illinois,82.4
717,Gallatin County, Illinois,28
718,Jackson County, Illinois,51.01
719,Monroe County, Illinois,37.99
720,Peoria County, Illinois,45
721,Union County, Illinois,51.01
722,Winnebago County, Illinois,36
723,Piatt County, Illinois,45
724,Pulaski County, Illinois,75.99
725,Schuyler County, Illinois,45
726,Stark County, Illinois,48.2
727,Edgar County, Illinois,46.4
728,Bond County, Illinois,66.2
729,Boone County, Illinois,46.99
730,Bureau County, Illinois,42.01
731,Carroll County, Illinois,41
732,Coles County, Illinois,48.99
733,Crawford County, Illinois,48
734,Jersey County, Illinois,66.99
735,Putnam County, Illinois,46.99
736,De Witt County, Illinois,86
737,Fayette County, Illinois,77
738,Lee County, Illinois,84.99
739,Logan County, Illinois,46
740,Macoupin County, Illinois,63
741,Richland County, Illinois,68
742,Saline County, Illinois,75.99
743,Washington County, Illinois,50
744,Montgomery County, Illinois,42.01
745,Whiteside County, Illinois,37.99
746,Adams County, Illinois,52
747,Clinton County, Illinois,37.99
