Date,RegionID,RegionName,State,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
1/31/2019,1541,Benewah County,ID,,1774,205100,0.003424658,0.017361111,0.162698413,0.087726259,0.044817845,2019-01,2019-Q1,205100,0,2019-01
1/31/2019,2003,Rosebud County,MT,,1775,132800,0,0.007587253,-0.053456878,0.004425627,,2017-06,2017-Q2,142700,-0.069376314,2014-07
1/31/2019,2152,Brewster County,TX,,1776,200800,0.001496259,0.006516291,0.047470005,0.082965853,0.055498899,2019-01,2019-Q1,200800,0,2019-01
1/31/2019,3035,Stillwater County,MT,,1777,205100,0.021923269,0.053956835,0.074947589,0.042081929,,2019-01,2019-Q1,205100,0,2019-01
1/31/2019,3091,Clear Creek County,CO,Denver-Aurora-Lakewood,1778,358200,0.002799552,0.017613636,0.121829001,0.094268592,0.049004281,2019-01,2019-Q1,358200,0,2019-01
1/31/2019,835,Archer County,TX,Wichita Falls,1779,134000,0.002994012,-0.00887574,-0.008142117,0.044279303,0.028879293,2018-06,2018-Q2,137500,-0.025454545,2018-04
1/31/2019,1051,Greene County,AL,,1780,90000,0.006711409,-0.025974026,0.145038168,0.085559508,0.035819017,2018-10,2018-Q4,92400,-0.025974026,2018-09
1/31/2019,195,Jack County,TX,,1781,72800,0,-0.006821282,0.076923077,0.017656261,,2012-11,2012-Q4,76700,-0.050847458,2012-03
1/31/2019,980,Dawson County,MT,,1782,176600,0.007415859,0.029737609,0.064496685,0.047245583,,2019-01,2019-Q1,176600,0,2019-01
1/31/2019,1188,McLean County,ND,,1783,168900,0.003565062,-0.005885815,-0.00996483,0.039586195,0.071330279,2018-01,2018-Q1,170600,-0.00996483,2017-05
1/31/2019,720,Sitka Borough,AK,,1784,375400,-0.009237266,-0.025188263,-0.058203713,0.01970707,0.019887043,2018-05,2018-Q2,400500,-0.06267166,2017-06
1/31/2019,866,Benton County,IN,Lafayette-West Lafayette,1785,78800,0.018087855,0.039577836,0.145348837,0.062114976,0.010335613,2019-01,2019-Q1,78800,0,2019-01
1/31/2019,2903,Clearwater County,ID,,1786,165700,0.011599512,0.024737168,0.186113099,0.09784592,0.041442612,2019-01,2019-Q1,165700,0,2019-01
1/31/2019,1328,Platte County,WY,,1787,182800,0.00550055,0.016120067,-0.010286952,0.03037258,0.019836675,2018-06,2018-Q2,189700,-0.036373221,2017-10
1/31/2019,1828,Johnson County,WY,,1788,249100,0.005246166,0.012601626,0.040952779,0.033560641,0.016066006,2018-06,2018-Q2,250300,-0.004794247,2018-06
1/31/2019,1617,Choctaw County,MS,,1789,82900,0.006067961,0.004848485,-0.017772512,0.036189082,,2017-10,2017-Q4,89100,-0.069584736,2016-09
1/31/2019,123,Clay County,KS,,1790,93400,0.008639309,0.033185841,0.106635071,0.042642765,,2019-01,2019-Q1,93400,0,2019-01
1/31/2019,2593,Washakie County,WY,,1791,180600,0.002219756,0.011198208,0.055523086,0.026579326,0.012819518,2019-01,2019-Q1,180600,0,2019-01
1/31/2019,2848,Somervell County,TX,Dallas-Fort Worth-Arlington,1792,251200,-0.001192843,0.010052272,0.066666667,0.057768089,0.034351534,2018-12,2018-Q4,251500,-0.001192843,2018-12
1/31/2019,1653,Daviess County,MO,,1793,131100,0.022620905,0.025019547,0.085264901,0.081274135,,2019-01,2019-Q1,131100,0,2019-01
1/31/2019,1439,Traill County,ND,,1794,124800,-0.004784689,-0.011093502,-0.012658228,0.054754383,0.044561717,2018-01,2018-Q1,126400,-0.012658228,2017-07
1/31/2019,2284,Franklin County,MS,,1795,113100,-0.000883392,-0.005277045,-0.001765225,0.053873952,,2018-07,2018-Q3,114100,-0.008764242,2018-05
1/31/2019,2120,Anderson County,KS,,1796,64400,0.014173228,0.037037037,0.082352941,0.051081592,-0.005862362,2007-05,2007-Q2,71500,-0.099300699,2002-04
1/31/2019,2253,Doniphan County,KS,St. Joseph,1797,80400,0.011320755,0.036082474,0.024203822,0.021747939,,2011-01,2011-Q1,80600,-0.00248139,2011-01
1/31/2019,595,Lemhi County,ID,,1798,224500,0.003576218,0.013544018,0.103194103,0.07455703,0.036740824,2019-01,2019-Q1,224500,0,2019-01
1/31/2019,1431,Thomas County,KS,,1799,135600,0.007429421,0.028831563,0.083932854,0.070845166,,2019-01,2019-Q1,135600,0,2019-01
